decile,n_hh,n_mailed,n_holdout,mailed_sales,holdout_sales,mailed_rate,holdout_rate_raw,baseline_rate_est,incremental_sales
1,10000,8936,1064,67,2,0.0074977618621307075,0.0018796992481203006,0.001381861349629962,54.7
2,10000,8999,1001,35,2,0.00388932103567063,0.001998001998001998,0.0007168142326100361,28.5
3,10000,8987,1013,35,0,0.003894514298431067,0.0,0.0007177713674482825,28.5
4,10000,8976,1024,22,1,0.0024509803921568627,0.0009765625,0.0004517234789396159,17.9
5,10000,8979,1021,23,0,0.0025615324646397148,0.0,0.0004720985773882788,18.8
6,10000,8964,1036,18,0,0.002008032128514056,0.0,0.00037008670563727566,14.7
7,10000,9030,970,14,0,0.0015503875968992248,0.0,0.0002857413634222687,11.4
8,10000,9004,996,12,0,0.0013327410039982231,0.0,0.00024562840436343397,9.8
9,10000,8965,1035,7,0,0.0007808142777467931,0.0,0.000143906553915398,5.7
10,10000,8966,1034,6,0,0.0006691947356680794,0.0,0.0001233347174262971,4.9
