decile,n_hh,n_mailed,n_holdout,mailed_sales,holdout_sales,mailed_rate,holdout_rate_raw,baseline_rate_est,incremental_sales,mail_cost,incr_value,net,roi
1,10000,8936,1064,67,2,0.0074977618621307,0.0018796992481203,0.0013818613496299,54.7,13404.0,54700.0,41296.0,3.0808713816771114
2,10000,8999,1001,35,2,0.0038893210356706,0.0019980019980019,0.00071681423261,28.5,13498.5,28500.0,15001.5,1.111345705078342
3,10000,8987,1013,35,0,0.003894514298431,0.0,0.0007177713674482,28.5,13480.5,28500.0,15019.5,1.1141649048625792
4,10000,8976,1024,22,1,0.0024509803921568,0.0009765625,0.0004517234789396,17.9,13464.0,17900.0,4436.0,0.3294711824123589
5,10000,8979,1021,23,0,0.0025615324646397,0.0,0.0004720985773882,18.8,13468.5,18800.0,5331.5,0.3958495749341055
6,10000,8964,1036,18,0,0.002008032128514,0.0,0.0003700867056372,14.7,13446.0,14700.0,1254.0,0.09326193663543061
7,10000,9030,970,14,0,0.0015503875968992,0.0,0.0002857413634222,11.4,13545.0,11400.0,-2145.0,-0.1583610188261351
8,10000,9004,996,12,0,0.0013327410039982,0.0,0.0002456284043634,9.8,13506.0,9800.0,-3706.0,-0.2743965644898564
9,10000,8965,1035,7,0,0.0007808142777467,0.0,0.0001439065539153,5.7,13447.5,5700.0,-7747.5,-0.5761293920803123
10,10000,8966,1034,6,0,0.000669194735668,0.0,0.0001233347174262,4.9,13449.0,4900.0,-8549.0,-0.6356606439140456
